continents,country
Asia,Russian Fed.
Asia,United Arab Emirates
Asia,Taiwan
Asia,India
Asia,Indonesia
Asia,Jordan
Asia,Philippines
Asia,Iran
Asia,Singapore
Europe,Spain
Europe,Iceland
Europe,Turkey
Europe,Denmark
Europe,Greece
Europe,Cyprus
Europe,Georgia
Europe,Ukraine
Europe,Bosnia - Herzegovina
Africa,Algeria
Africa,Botswana
Africa,Egypt
Africa,Ethiopia
Africa,Ghana
Africa,Rwanda
Africa,Nigeria
Africa,Tanzania
Africa,Senegal
Australia,Australia
Australia,New Zealand
North America,Mexico
Central America,Panama
Central America,Nicaragua
Central America,Dominican Republic
Central America,Martinique
Central America,Cuba
South America,Ecuador
South America,Brazil
South America,Argentina